Nitrat;huek_250_he;buek_200_bodtyp;clc5_2018;gk_1000;humus_1000;hyraum_tr;Thuenen_2019;mundialis;NDVI
7.888888889;267;32;2;24;8;3101;888;40;5509
36.05;530;32;15;603;12;6203;999;20;7532
2.18;530;14;3;603;5;6203;888;20;6033
26.36;321;42;14;24;12;4104;160;20;7395
4.533333333;576;2;14;583;7;6302;555;10;8131
19.525;505;17;2;583;7;6302;888;40;4880
8.525;321;2;3;113;8;4104;888;40;4482
9.2625;1065;2;15;833;8;10101;10;20;7822
33.56666667;265;14;12;444;5;3101;120;50;5722
21.95;290;14;15;98;7;4101;10;10;7065
53.2125;521;15;12;94;5;6301;888;20;6330
13.9;495;28;15;579;7;6402;555;20;7368
28.44;321;14;14;113;12;4104;160;20;7724
41.7173913;537;32;12;604;5;6203;160;20;6533
11.65;324;5;16;579;7;6402;888;40;6926
9.0125;321;32;15;24;8;4104;10;20;7853
21.2;480;17;2;506;5;6501;888;40;5066
22.65;469;32;2;583;12;6302;888;20;4863
25.7;321;32;3;24;5;4104;888;40;4042
