GW-Nummer,GWL,x,y,eusr5000,aet,pdsi,pet,soil,srad,swe,NDVI,DHM
442,129.9111,419486.6983,5387863.572,120.7396,49.4033,-1.5596,63.0517,49.5042,132.3442,2.1333,0.6726,133
443,106.7705,468727.1559,5444692.961,133.5734,46.9308,-1.814,64.1158,49.5983,129.5933,2.2167,0.7412,113
444,187.7979,395602.1185,5319995.509,120.7396,50.9108,-0.8855,66.1508,41.6825,135.8892,2.325,0.6332,187
445,110.2553,445244.4436,5416987.007,120.7396,49.9458,-1.3758,63.7133,47.475,131.4142,2.8833,0.5871,120
446,109.2616,440120.4847,5416509.194,120.7396,48.8558,-1.4403,63.2575,45.765,131.9183,2.5583,0.668,110
447,104.3347,462339.6942,5444326.129,120.7396,46.3075,-1.8074,64.215,48.25,130.3017,2.275,0.5493,109
448,111.128,451496.9578,5420952.431,133.5734,48.9675,-1.421,63.7225,47.6033,131.3767,2.7583,0.8854,118
449,95.239,469226.9916,5470926.517,92.1853,47.555,-1.8784,65.3933,51.2392,127.6525,1.6917,0.4306,105
450,105.5673,468692.1698,5444650.978,133.5734,46.9308,-1.814,64.1158,49.5983,129.5933,2.2167,0.7412,118
451,165.9221,402426.4183,5341587.958,120.7396,51.9983,-1.0908,64.6367,48.485,134.4017,2.3583,0.8705,171
452,178.1994,407143.5252,5333131.304,133.5734,52.6775,-1.0456,64.5692,46.1392,134.335,2.475,0.7978,187
453,133.5983,415998.0868,5382665.635,120.7396,50.0383,-1.5332,64.8317,49.06,132.2667,1.925,0.6667,134
454,110.2283,438283.2156,5415572.566,120.7396,48.6908,-1.4619,63.355,45.0042,131.7275,2.3917,0.8434,116
455,109.1924,443595.1005,5417008.998,120.7396,49.0583,-1.4246,63.0875,46.6533,131.9092,2.7667,0.8962,116
456,109.8502,441048.1138,5414243.097,120.7396,48.8558,-1.4403,63.2575,45.765,131.9183,2.5583,0.7531,120
457,95.0456,473630.2482,5491274.458,133.5734,47.1717,-1.8868,64.5575,55.335,126.0392,2.0417,0.6408,101
458,90.9698,464444.897,5469218.221,92.1853,46.68,-1.8728,65.155,49.4192,128.4683,1.7333,0.8784,105
459,101.3222,468692.1698,5444650.978,133.5734,46.9308,-1.814,64.1158,49.5983,129.5933,2.2167,0.7412,118
460,147.8777,410975.0636,5362708.561,120.7396,50.645,-1.4412,64.3317,48.7092,133.2392,2.3083,0.7038,150
461,149.4611,409580.6178,5360574.409,120.7396,50.4708,-1.3577,64.6025,48.5742,133.2633,1.9417,0.6544,149
462,110.5703,437018.7186,5415157.731,120.7396,48.6908,-1.4619,63.355,45.0042,131.7275,2.3917,0.7735,112
463,96.8438,473053.4685,5476606.253,92.1853,48.3108,-1.8554,64.9658,54.695,127.1683,1.7917,0.6224,103
464,94.7896,470171.6125,5469884.925,92.1853,47.9258,-1.8616,65.0992,52.87,127.4367,1.875,0.431,102
465,99.2974,468692.1698,5444650.978,133.5734,46.9308,-1.814,64.1158,49.5983,129.5933,2.2167,0.7412,118
466,178.4925,408229.0985,5333057.331,133.5734,52.6775,-1.0456,64.5692,46.1392,134.335,2.475,0.7325,182
467,218.5699,404322.674,5313939.894,133.5734,49.8033,-0.975,64.7067,38.8292,135.7258,2.025,0.6416,226
468,100.5495,452037.7597,5434095.214,120.7396,46.42,-1.7304,64.6675,44.895,130.7842,2.0917,0.3018,103
469,96.3083,473438.3099,5470685.589,92.1853,48.9817,-1.7717,66.165,53.7142,127.2583,1.7583,0.5157,106
470,148.993,412259.5484,5361294.122,133.5734,50.645,-1.4412,64.3317,48.7092,133.2392,2.3083,0.5783,149
471,178.5229,408724.9043,5333316.228,133.5734,52.6775,-1.0456,64.5692,46.1392,134.335,2.475,0.8059,177
472,225.0291,408640.9541,5314879.5,133.5734,51.1058,-1.031,64.6258,39.6225,135.44,2.125,0.5967,231
473,138.8616,414350.734,5375683.405,120.7396,50.4075,-1.5033,64.3283,49.725,132.6183,1.9583,0.6489,138
474,122.369,428342.1672,5398881.201,120.7396,50.1783,-1.4072,63.3383,46.6042,131.9558,2.325,0.693,125
475,109.0458,441294.0172,5416689.124,120.7396,48.8558,-1.4403,63.2575,45.765,131.9183,2.5583,0.672,112
476,114.1737,453044.3422,5418954.225,133.5734,48.9675,-1.421,63.7225,47.6033,131.3767,2.7583,0.6864,117
477,95.0355,473199.42,5490686.693,133.5734,47.1717,-1.8868,64.5575,55.335,126.0392,2.0417,0.6526,97
478,96.2417,473440.3144,5477647.84,92.1853,48.3108,-1.8554,64.9658,54.695,127.1683,1.7917,0.5464,104
479,96.8192,474056.0613,5469458.073,92.1853,48.9817,-1.7717,66.165,53.7142,127.2583,1.7583,0.533,107
480,102.6894,471439.0851,5455187.765,92.1853,46.6208,-1.8293,64.1583,50.81,129.3275,2.2667,0.8162,121
481,106.2627,467303.7229,5446164.38,133.5734,46.43,-1.8109,64.1925,49.6708,129.8242,2.2583,0.8705,116
482,148.7039,408426.0806,5361700.962,120.7396,50.4708,-1.3577,64.6025,48.5742,133.2633,1.9417,0.7077,147
483,178.4171,409560.5774,5334129.906,133.5734,52.6775,-1.0456,64.5692,46.1392,134.335,2.475,0.6456,178
