GW-Nummer,x,y,Nitrat,huek_250_he*,buek_200_bodtyp*,clc5_2018*,gk_1000*,humus_1000*,hyraum_tr*,Thuenen_2019*,mundialis*,NDVI
63,449186.0012,5272199.401,6.8,505,28,16,583,5,6302,888,10,8367
64,458193.2592,5369460.959,2.825,548,4,17,610,7,6202,888,10,7422
65,457194.6731,5331890.865,5.675,548,2,15,612,7,6202,555,10,7286
66,460559.2593,5322464.745,17.45,537,28,10,602,7,6203,888,40,5338
67,461162.1236,5298289.203,40.36,508,17,15,591,7,6301,10,20,7761
68,471720.9194,5359240.094,8.425,544,32,15,602,7,6203,10,20,8270
69,467557.5927,5348530.294,29.11176471,537,28,2,602,7,6203,888,40,7786
70,463196.2581,5314900.678,31.6875,524,2,15,598,7,6301,10,20,7424
71,464838.6777,5301917.744,3.75,505,2,15,583,7,6302,10,20,7643
72,477527.619,5415770.48,64.4,544,14,1,607,12,6203,888,40,3287
73,475437.4575,5392402.818,10.5,559,2,17,612,7,6202,555,10,8151
74,475914.2242,5358915.179,15.275,530,32,7,602,7,6203,888,40,5567
75,483101.3665,5324408.914,8.1,505,17,15,583,7,6402,10,20,8054
76,479158.8633,5294800.809,31.68333333,286,17,12,514,7,6402,91,60,7728
77,497555.6277,5370276.69,27.23333333,469,32,15,444,7,6301,888,40,7462
78,489194.8972,5351100.866,6.3125,508,14,12,585,7,6302,888,10,7352
79,503589.3692,5473473.361,8.16,557,2,17,612,7,6201,888,20,7802
80,511143.1544,5378902.209,7.35,508,14,12,595,7,6302,888,20,8052
81,512939.6901,5478767.259,12.94,557,16,17,610,7,6201,888,10,8355
82,519816.6914,5312793.675,17.81333333,321,12,15,33,7,4104,10,20,7260
83,521786.0866,5290132.721,25.95,321,14,2,24,8,4104,888,40,5855
84,535480.4374,5408845.177,6.3,515,2,16,596,7,6301,888,10,8537
85,533307.9738,5383732.021,27.34,469,17,12,583,5,6302,160,20,6298
86,533739.7912,5341939.933,25.26363636,495,32,15,579,7,6402,888,20,7421
87,540588.4066,5460275.526,18.9125,537,28,2,604,5,6203,888,40,6515
88,541857.8874,5422914.488,1.31875,515,2,17,596,7,6301,888,10,8225
89,542432.7142,5298294.563,2.35,290,14,15,98,8,4101,10,20,7411
90,542093.0763,5271909.204,18.9,321,42,15,24,12,4104,160,20,7670
91,558991.1313,5432495.598,5.26,516,2,16,596,7,6301,888,10,8868
92,551483.9628,5404287.061,10.53333333,515,2,17,596,7,6302,888,10,8189
93,560735.5768,5480547.423,31.62666667,544,32,15,607,7,6203,555,20,6955
94,579267.9806,5450483.421,0.28,521,34,12,597,7,6301,888,40,6946
